company_id,type,rule_id,text,confidence_pct
ABB,pro,P01,Consistently high return on equity above 20% demonstrates strong capital efficiency,92.5
ABB,pro,P06,Net profit compounding at above 20% over 5 years indicates strong earnings compounding,90.0
ABB,pro,P07,Very high interest coverage or debt-free status indicates limited debt-servicing pressure,92.0
ABB,pro,P08,Dividend distribution is backed by positive free cash flow,80.0
ABB,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings compounding,88.0
ABB,con,C12,Some key financial indicators remain below the strongest peer-growth signals and warrant monitoring,65.0
ADANIENSOL,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90.0
ADANIENSOL,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
ADANIENSOL,con,C01,Debt-to-equity ratio of 2.93 is elevated for a non-financial company and warrants monitoring,90.0
ADANIENT,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90.0
ADANIENT,pro,P06,Net profit compounding at above 20% over 5 years indicates strong earnings compounding,90.0
ADANIENT,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings compounding,88.0
ADANIENT,con,C12,Some key financial indicators remain below the strongest peer-growth signals and warrant monitoring,65.0
ADANIGREEN,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90.0
ADANIGREEN,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
ADANIGREEN,con,C01,Debt-to-equity ratio of 6.60 is elevated for a non-financial company and warrants monitoring,90.0
ADANIPORTS,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90.0
ADANIPORTS,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
ADANIPORTS,pro,P08,Dividend distribution is backed by positive free cash flow,80.0
ADANIPORTS,con,C12,Some key financial indicators remain below the strongest peer-growth signals and warrant monitoring,65.0
ADANIPOWER,pro,P01,Consistently high return on equity above 20% demonstrates strong capital efficiency,99.0
ADANIPOWER,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90.0
ADANIPOWER,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
ADANIPOWER,con,C12,Some key financial indicators remain below the strongest peer-growth signals and warrant monitoring,65.0
AMBUJACEM,pro,P07,Very high interest coverage or debt-free status indicates limited debt-servicing pressure,92.0
AMBUJACEM,con,C12,Revenue growth below 5% CAGR over 5 years indicates limited top-line momentum,80.0
APOLLOHOSP,pro,P06,Net profit compounding at above 20% over 5 years indicates strong earnings compounding,90.0
APOLLOHOSP,pro,P08,Dividend distribution is backed by positive free cash flow,80.0
APOLLOHOSP,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings compounding,88.0
APOLLOHOSP,con,C12,Some key financial indicators remain below the strongest peer-growth signals and warrant monitoring,65.0
ASIANPAINT,pro,P01,Consistently high return on equity above 20% demonstrates strong capital efficiency,89.7
ASIANPAINT,pro,P06,Net profit compounding at above 20% over 5 years indicates strong earnings compounding,90.0
ASIANPAINT,pro,P07,Very high interest coverage or debt-free status indicates limited debt-servicing pressure,92.0
ASIANPAINT,pro,P08,Dividend distribution is backed by positive free cash flow,80.0
ASIANPAINT,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings compounding,88.0
ASIANPAINT,con,C12,Some key financial indicators remain below the strongest peer-growth signals and warrant monitoring,65.0
ATGL,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90.0
ATGL,pro,P06,Net profit compounding at above 20% over 5 years indicates strong earnings compounding,90.0
ATGL,pro,P07,Very high interest coverage or debt-free status indicates limited debt-servicing pressure,92.0
ATGL,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings compounding,88.0
ATGL,con,C12,Some key financial indicators remain below the strongest peer-growth signals and warrant monitoring,65.0
AXISBANK,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
AXISBANK,pro,P06,Net profit compounding at above 20% over 5 years indicates strong earnings compounding,90.0
AXISBANK,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings compounding,88.0
AXISBANK,con,C10,Return on capital employed below 10% indicates relatively modest capital returns,82.0
BAJAJ-AUTO,pro,P01,Consistently high return on equity above 20% demonstrates strong capital efficiency,86.6
BAJAJ-AUTO,pro,P07,Very high interest coverage or debt-free status indicates limited debt-servicing pressure,92.0
BAJAJ-AUTO,pro,P08,Dividend distribution is backed by positive free cash flow,80.0
BAJAJ-AUTO,con,C12,Some key financial indicators remain below the strongest peer-growth signals and warrant monitoring,65.0
BAJAJFINSV,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90.0
BAJAJFINSV,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
BAJAJFINSV,pro,P06,Net profit compounding at above 20% over 5 years indicates strong earnings compounding,90.0
BAJAJFINSV,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings compounding,88.0
BAJAJFINSV,con,C12,Some key financial indicators remain below the strongest peer-growth signals and warrant monitoring,65.0
BAJAJHLDNG,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90.0
BAJAJHLDNG,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
BAJAJHLDNG,pro,P07,Very high interest coverage or debt-free status indicates limited debt-servicing pressure,92.0
BAJAJHLDNG,pro,P08,Dividend distribution is backed by positive free cash flow,80.0
BAJAJHLDNG,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings compounding,88.0
BAJAJHLDNG,con,C12,Some key financial indicators remain below the strongest peer-growth signals and warrant monitoring,65.0
BAJFINANCE,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90.0
BAJFINANCE,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
BAJFINANCE,pro,P06,Net profit compounding at above 20% over 5 years indicates strong earnings compounding,90.0
BAJFINANCE,pro,P07,Very high interest coverage or debt-free status indicates limited debt-servicing pressure,92.0
BAJFINANCE,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings compounding,88.0
BAJFINANCE,con,C10,Return on capital employed below 10% indicates relatively modest capital returns,82.0
BANKBARODA,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90.0
BANKBARODA,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
BANKBARODA,pro,P06,Net profit compounding at above 20% over 5 years indicates strong earnings compounding,90.0
BANKBARODA,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings compounding,88.0
BANKBARODA,con,C03,Operating margins have declined across the latest three observations,82.0
BANKBARODA,con,C10,Return on capital employed below 10% indicates relatively modest capital returns,82.0
BEL,pro,P01,Consistently high return on equity above 20% demonstrates strong capital efficiency,99.0
BEL,pro,P07,Very high interest coverage or debt-free status indicates limited debt-servicing pressure,92.0
BEL,con,C12,Some key financial indicators remain below the strongest peer-growth signals and warrant monitoring,65.0
BHARTIARTL,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
BHARTIARTL,pro,P06,Net profit compounding at above 20% over 5 years indicates strong earnings compounding,90.0
BHARTIARTL,pro,P08,Dividend distribution is backed by positive free cash flow,80.0
BHARTIARTL,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings compounding,88.0
BHARTIARTL,con,C01,Debt-to-equity ratio of 2.61 is elevated for a non-financial company and warrants monitoring,90.0
BHEL,pro,P12,Operating and financial metrics provide a measurable basis for continued monitoring,65.0
BHEL,con,C10,Return on capital employed below 10% indicates relatively modest capital returns,82.0
BHEL,con,C12,Revenue growth below 5% CAGR over 5 years indicates limited top-line momentum,80.0
BOSCHLTD,pro,P01,Consistently high return on equity above 20% demonstrates strong capital efficiency,80.6
BOSCHLTD,pro,P07,Very high interest coverage or debt-free status indicates limited debt-servicing pressure,92.0
BOSCHLTD,pro,P08,Dividend distribution is backed by positive free cash flow,80.0
BOSCHLTD,con,C12,Some key financial indicators remain below the strongest peer-growth signals and warrant monitoring,65.0
BPCL,pro,P01,Consistently high return on equity above 20% demonstrates strong capital efficiency,95.5
BPCL,pro,P06,Net profit compounding at above 20% over 5 years indicates strong earnings compounding,90.0
BPCL,pro,P07,Very high interest coverage or debt-free status indicates limited debt-servicing pressure,92.0
BPCL,pro,P08,Dividend distribution is backed by positive free cash flow,80.0
BPCL,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings compounding,88.0
BPCL,con,C12,Some key financial indicators remain below the strongest peer-growth signals and warrant monitoring,65.0
BRITANNIA,pro,P01,Consistently high return on equity above 20% demonstrates strong capital efficiency,99.0
BRITANNIA,pro,P07,Very high interest coverage or debt-free status indicates limited debt-servicing pressure,92.0
BRITANNIA,pro,P08,Dividend distribution is backed by positive free cash flow,80.0
BRITANNIA,con,C12,Some key financial indicators remain below the strongest peer-growth signals and warrant monitoring,65.0
CANBK,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90.0
CANBK,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
CANBK,pro,P06,Net profit compounding at above 20% over 5 years indicates strong earnings compounding,90.0
CANBK,pro,P08,Dividend distribution is backed by positive free cash flow,80.0
CANBK,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings compounding,88.0
CANBK,con,C03,Operating margins have declined across the latest three observations,82.0
CANBK,con,C10,Return on capital employed below 10% indicates relatively modest capital returns,82.0
CHOLAFIN,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90.0
CHOLAFIN,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
CHOLAFIN,pro,P06,Net profit compounding at above 20% over 5 years indicates strong earnings compounding,90.0
CHOLAFIN,pro,P07,Very high interest coverage or debt-free status indicates limited debt-servicing pressure,92.0
CHOLAFIN,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings compounding,88.0
CHOLAFIN,con,C10,Return on capital employed below 10% indicates relatively modest capital returns,82.0
CIPLA,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
CIPLA,pro,P06,Net profit compounding at above 20% over 5 years indicates strong earnings compounding,90.0
CIPLA,pro,P07,Very high interest coverage or debt-free status indicates limited debt-servicing pressure,92.0
CIPLA,pro,P08,Dividend distribution is backed by positive free cash flow,80.0
CIPLA,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings compounding,88.0
CIPLA,con,C03,Operating margins have declined across the latest three observations,82.0
COALINDIA,pro,P01,Consistently high return on equity above 20% demonstrates strong capital efficiency,99.0
COALINDIA,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
COALINDIA,pro,P07,Very high interest coverage or debt-free status indicates limited debt-servicing pressure,92.0
COALINDIA,pro,P08,Dividend distribution is backed by positive free cash flow,80.0
COALINDIA,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings compounding,88.0
COALINDIA,con,C12,Some key financial indicators remain below the strongest peer-growth signals and warrant monitoring,65.0
DABUR,pro,P07,Very high interest coverage or debt-free status indicates limited debt-servicing pressure,92.0
DABUR,pro,P08,Dividend distribution is backed by positive free cash flow,80.0
DABUR,con,C12,Some key financial indicators remain below the strongest peer-growth signals and warrant monitoring,65.0
DIVISLAB,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
DIVISLAB,pro,P07,Very high interest coverage or debt-free status indicates limited debt-servicing pressure,92.0
DIVISLAB,pro,P08,Dividend distribution is backed by positive free cash flow,80.0
DIVISLAB,con,C12,Some key financial indicators remain below the strongest peer-growth signals and warrant monitoring,65.0
DLF,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
DLF,pro,P08,Dividend distribution is backed by positive free cash flow,80.0
DLF,con,C10,Return on capital employed below 10% indicates relatively modest capital returns,82.0
DLF,con,C12,Revenue growth below 5% CAGR over 5 years indicates limited top-line momentum,80.0
DMART,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90.0
DMART,pro,P06,Net profit compounding at above 20% over 5 years indicates strong earnings compounding,90.0
DMART,pro,P07,Very high interest coverage or debt-free status indicates limited debt-servicing pressure,92.0
DMART,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings compounding,88.0
DMART,con,C03,Operating margins have declined across the latest three observations,82.0
DRREDDY,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
DRREDDY,pro,P06,Net profit compounding at above 20% over 5 years indicates strong earnings compounding,90.0
DRREDDY,pro,P07,Very high interest coverage or debt-free status indicates limited debt-servicing pressure,92.0
DRREDDY,pro,P08,Dividend distribution is backed by positive free cash flow,80.0
DRREDDY,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings compounding,88.0
DRREDDY,con,C12,Some key financial indicators remain below the strongest peer-growth signals and warrant monitoring,65.0
EICHERMOT,pro,P01,Consistently high return on equity above 20% demonstrates strong capital efficiency,82.2
EICHERMOT,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
EICHERMOT,pro,P07,Very high interest coverage or debt-free status indicates limited debt-servicing pressure,92.0
EICHERMOT,pro,P08,Dividend distribution is backed by positive free cash flow,80.0
EICHERMOT,con,C12,Some key financial indicators remain below the strongest peer-growth signals and warrant monitoring,65.0
GAIL,pro,P07,Very high interest coverage or debt-free status indicates limited debt-servicing pressure,92.0
GAIL,pro,P08,Dividend distribution is backed by positive free cash flow,80.0
GAIL,con,C12,Some key financial indicators remain below the strongest peer-growth signals and warrant monitoring,65.0
GODREJCP,pro,P12,Operating and financial metrics provide a measurable basis for continued monitoring,65.0
GODREJCP,con,C04,The latest period shows a net loss relative to sales,95.0
GODREJCP,con,C10,Return on capital employed below 10% indicates relatively modest capital returns,82.0
